Date,Govt,Corp,Equity,Govt,Corp,Equity,
04-May-21,111.94,485.76,8643.91,1.1194,1.19131821,1.676658054,
05-May-21,112.02,486.32,8650.04,1.1202,1.1926916,1.67784709,
06-May-21,112.05,486.77,8722.04,1.1205,1.193795218,1.69181292,
07-May-21,112.02,486.64,8787.82,1.1202,1.193476395,1.704572258,
10-May-21,111.82,485.28,8696.29,1.1182,1.190141018,1.686818196,
11-May-21,111.68,484.07,8620.98,1.1168,1.187173513,1.672210325,
12-May-21,111.34,481.78,8437.24,1.1134,1.181557327,1.636570302,
13-May-21,111.46,482.35,8541.39,1.1146,1.182955242,1.656772264,
14-May-21,111.65,484.27,8669.49,1.1165,1.18766401,1.681619804,
17-May-21,111.59,484.21,8647.57,1.1159,1.187516861,1.677367984,
18-May-21,111.57,483.98,8574.98,1.1157,1.18695279,1.663287712,
19-May-21,111.43,482.95,8550.95,1.1143,1.184426732,1.658626616,
20-May-21,111.69,484.63,8641.98,1.1169,1.188546904,1.676283693,
21-May-21,111.73,485.24,8635.55,1.1173,1.190042918,1.675036466,
24-May-21,111.84,486.14,8722,1.1184,1.192250153,1.691805161,
25-May-21,112.11,488.13,8703.59,1.1211,1.197130595,1.688234176,
26-May-21,112.05,488,8720.04,1.1205,1.196811772,1.69142498,
27-May-21,112.01,487.58,8730.97,1.1201,1.195781729,1.693545071,
28-May-21,111.97,487.26,8738.77,1.1197,1.194996934,1.695058036,
01-Jun-21,111.91,486.95,8734.74,1.1191,1.194236665,1.694276337,
02-Jun-21,111.98,487.67,8748.3,1.1198,1.196002452,1.696906569,
03-Jun-21,111.81,486.7,8717.97,1.1181,1.193623544,1.691023463,
04-Jun-21,112.2,489.01,8795.08,1.122,1.19928878,1.705980479,
07-Jun-21,112.14,488.69,8788.28,1.1214,1.198503985,1.704661484,
08-Jun-21,112.33,490.02,8790,1.1233,1.201765788,1.704995112,
09-Jun-21,112.56,491.75,8774.31,1.1256,1.206008584,1.701951725,
10-Jun-21,112.76,493.23,8815.56,1.1276,1.209638259,1.709952982,
11-Jun-21,112.66,493.01,8832.94,1.1266,1.209098712,1.713324178,
14-Jun-21,112.43,491.76,8851.17,1.1243,1.206033109,1.716860249,
15-Jun-21,112.42,491.76,8833.68,1.1242,1.206033109,1.713467716,
16-Jun-21,112.1,490.69,8786.18,1.121,1.203408952,1.704254147,
17-Jun-21,112.43,492.86,8782.58,1.1243,1.20873084,1.703555856,
18-Jun-21,112.81,496.05,8667.76,1.1281,1.216554261,1.681284236,
21-Jun-21,112.48,493.8,8789.52,1.1248,1.211036174,1.704902006,
22-Jun-21,112.6,494.26,8834.56,1.126,1.212164316,1.713638409,
23-Jun-21,112.47,493.58,8825.01,1.1247,1.210496628,1.711785997,
24-Jun-21,112.49,493.71,8877.06,1.1249,1.210815451,1.721882128,
25-Jun-21,112.26,493.2,8906.79,1.1226,1.209564684,1.727648852,
28-Jun-21,112.53,494.67,8927.4,1.1253,1.213169834,1.731646571,
29-Jun-21,112.58,495.18,8930.67,1.1258,1.214420601,1.732280853,
30-Jun-21,112.69,495.9,8942.78,1.1269,1.216186389,1.734629828,
01-Jul-21,112.66,495.61,8990.08,1.1266,1.215475169,1.743804603,
02-Jul-21,112.85,496.68,9058.66,1.1285,1.218099326,1.757107056,
06-Jul-21,113.14,498.27,9040.76,1.1314,1.221998774,1.753634995,
07-Jul-21,113.5,500.31,9071.14,1.135,1.227001839,1.7595278,
08-Jul-21,113.69,500.66,8995.26,1.1369,1.227860208,1.744809366,
09-Jul-21,113.28,498.06,9096.84,1.1328,1.221483752,1.764512825,
12-Jul-21,113.23,497.9,9128.22,1.1323,1.221091355,1.7705996,
13-Jul-21,112.97,496.48,9096.15,1.1297,1.217608829,1.764378986,
14-Jul-21,113.33,498.65,9107.85,1.1333,1.222930717,1.766648433,
15-Jul-21,113.61,500.32,9078.33,1.1361,1.227026364,1.760922443,
